Fod size : 5	|A| : 1	|B| : 1	Bl (B) :1	 Nlz : 496	 Bl ({A}) : 240	S({A};B) : 255	Cond Belief : 1
Fod size : 15	|A| : 13	|B| : 12	Bl (B) :1.67424e+07	 Nlz : 5.36855e+08	 Bl ({A}) : 49152	S({A};B) : 2.51505e+08	Cond Belief : 0.0586833
Fod size : 15	|A| : 13	|B| : 13	Bl (B) :3.35503e+07	 Nlz : 5.36855e+08	 Bl ({A}) : 49152	S({A};B) : 5.03255e+08	Cond Belief : 1
Fod size : 15	|A| : 14	|B| : 1	Bl (B) :256	 Nlz : 5.36855e+08	 Bl ({A}) : 16384	S({A};B) : 16640	Cond Belief : 4.76881e-07
Fod size : 15	|A| : 14	|B| : 2	Bl (B) :2080	 Nlz : 5.36855e+08	 Bl ({A}) : 16384	S({A};B) : 51232	Cond Belief : 3.87491e-06
Fod size : 15	|A| : 14	|B| : 3	Bl (B) :16520	 Nlz : 5.36855e+08	 Bl ({A}) : 16384	S({A};B) : 131208	Cond Belief : 3.07803e-05
Fod size : 15	|A| : 14	|B| : 4	Bl (B) :312	 Nlz : 5.36855e+08	 Bl ({A}) : 16384	S({A};B) : 246072	Cond Belief : 5.81447e-07
Fod size : 15	|A| : 14	|B| : 5	Bl (B) :155728	 Nlz : 5.36855e+08	 Bl ({A}) : 16384	S({A};B) : 663632	Cond Belief : 0.000290443
Fod size : 15	|A| : 14	|B| : 6	Bl (B) :53920	 Nlz : 5.36855e+08	 Bl ({A}) : 16384	S({A};B) : 1.08611e+06	Cond Belief : 0.000100644
Fod size : 15	|A| : 14	|B| : 7	Bl (B) :224384	 Nlz : 5.36855e+08	 Bl ({A}) : 16384	S({A};B) : 2.30515e+06	Cond Belief : 0.000419776
Fod size : 15	|A| : 14	|B| : 8	Bl (B) :698240	 Nlz : 5.36855e+08	 Bl ({A}) : 16384	S({A};B) : 4.87616e+06	Cond Belief : 0.00131257
Fod size : 15	|A| : 14	|B| : 9	Bl (B) :3.90298e+06	 Nlz : 5.36855e+08	 Bl ({A}) : 16384	S({A};B) : 1.22752e+07	Cond Belief : 0.00744043
Fod size : 15	|A| : 14	|B| : 10	Bl (B) :6.27149e+06	 Nlz : 5.36855e+08	 Bl ({A}) : 16384	S({A};B) : 2.30323e+07	Cond Belief : 0.0122059
Fod size : 15	|A| : 14	|B| : 11	Bl (B) :1.23187e+07	 Nlz : 5.36855e+08	 Bl ({A}) : 16384	S({A};B) : 4.58568e+07	Cond Belief : 0.02509
Fod size : 15	|A| : 14	|B| : 12	Bl (B) :3.09309e+07	 Nlz : 5.36855e+08	 Bl ({A}) : 16384	S({A};B) : 9.80234e+07	Cond Belief : 0.0704875
Fod size : 15	|A| : 14	|B| : 13	Bl (B) :6.70884e+07	 Nlz : 5.36855e+08	 Bl ({A}) : 16384	S({A};B) : 2.0129e+08	Cond Belief : 0.199937
Fod size : 15	|A| : 14	|B| : 14	Bl (B) :1.3421e+08	 Nlz : 5.36855e+08	 Bl ({A}) : 16384	S({A};B) : 4.02629e+08	Cond Belief : 1
Fod size : 15	|A| : 15	|B| : 1	Bl (B) :1024	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 1.90741e-06
Fod size : 15	|A| : 15	|B| : 2	Bl (B) :16400	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 3.05483e-05
Fod size : 15	|A| : 15	|B| : 3	Bl (B) :580	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 1.08037e-06
Fod size : 15	|A| : 15	|B| : 4	Bl (B) :132192	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.000246234
Fod size : 15	|A| : 15	|B| : 5	Bl (B) :90496	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.000168567
Fod size : 15	|A| : 15	|B| : 6	Bl (B) :107168	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.000199622
Fod size : 15	|A| : 15	|B| : 7	Bl (B) :697152	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.00129859
Fod size : 15	|A| : 15	|B| : 8	Bl (B) :1.2512e+06	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.00233061
Fod size : 15	|A| : 15	|B| : 9	Bl (B) :1.37574e+06	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.0025626
Fod size : 15	|A| : 15	|B| : 10	Bl (B) :1.14806e+07	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.0213849
Fod size : 15	|A| : 15	|B| : 11	Bl (B) :8.31386e+06	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.0154862
Fod size : 15	|A| : 15	|B| : 12	Bl (B) :6.67628e+07	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.124359
Fod size : 15	|A| : 15	|B| : 13	Bl (B) :1.32051e+08	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.245972
Fod size : 15	|A| : 15	|B| : 14	Bl (B) :2.68419e+08	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.499985
Fod size : 15	|A| : 15	|B| : 15	Bl (B) :5.36855e+08	 Nlz : 5.36855e+08	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 1
FoD size : 15 Time spent : 0
Fod size : 20	|A| : 1	|B| : 1	Bl (B) :1	 Nlz : 5.49755e+11	 Bl ({A}) : 2.74877e+11	S({A};B) : 2.74878e+11	Cond Belief : 1
Fod size : 20	|A| : 2	|B| : 1	Bl (B) :1	 Nlz : 5.49755e+11	 Bl ({A}) : 1.37438e+11	S({A};B) : 1.37439e+11	Cond Belief : 3.63798e-12
Fod size : 20	|A| : 2	|B| : 2	Bl (B) :6	 Nlz : 5.49755e+11	 Bl ({A}) : 1.37438e+11	S({A};B) : 4.12317e+11	Cond Belief : 1
Fod size : 20	|A| : 3	|B| : 1	Bl (B) :2	 Nlz : 5.49755e+11	 Bl ({A}) : 6.8719e+10	S({A};B) : 6.87192e+10	Cond Belief : 4.85064e-12
Fod size : 20	|A| : 3	|B| : 2	Bl (B) :10	 Nlz : 5.49755e+11	 Bl ({A}) : 6.8719e+10	S({A};B) : 2.06158e+11	Cond Belief : 3.63798e-11
Fod size : 20	|A| : 3	|B| : 3	Bl (B) :28	 Nlz : 5.49755e+11	 Bl ({A}) : 6.8719e+10	S({A};B) : 4.81036e+11	Cond Belief : 1
Fod size : 20	|A| : 4	|B| : 1	Bl (B) :2	 Nlz : 5.49755e+11	 Bl ({A}) : 3.43592e+10	S({A};B) : 3.43593e+10	Cond Belief : 4.15769e-12
Fod size : 20	|A| : 4	|B| : 2	Bl (B) :6	 Nlz : 5.49755e+11	 Bl ({A}) : 3.43592e+10	S({A};B) : 1.03078e+11	Cond Belief : 1.45519e-11
Fod size : 20	|A| : 4	|B| : 3	Bl (B) :44	 Nlz : 5.49755e+11	 Bl ({A}) : 3.43592e+10	S({A};B) : 2.40517e+11	Cond Belief : 1.60071e-10
Fod size : 20	|A| : 4	|B| : 4	Bl (B) :120	 Nlz : 5.49755e+11	 Bl ({A}) : 3.43592e+10	S({A};B) : 5.15396e+11	Cond Belief : 1
Fod size : 20	|A| : 5	|B| : 1	Bl (B) :1	 Nlz : 5.49755e+11	 Bl ({A}) : 1.71793e+10	S({A};B) : 1.71794e+10	Cond Belief : 1.94025e-12
Fod size : 20	|A| : 5	|B| : 2	Bl (B) :34	 Nlz : 5.49755e+11	 Bl ({A}) : 1.71793e+10	S({A};B) : 5.15391e+10	Cond Belief : 7.06807e-11
Fod size : 20	|A| : 5	|B| : 3	Bl (B) :100	 Nlz : 5.49755e+11	 Bl ({A}) : 1.71793e+10	S({A};B) : 1.20259e+11	Cond Belief : 2.42532e-10
Fod size : 20	|A| : 5	|B| : 4	Bl (B) :120	 Nlz : 5.49755e+11	 Bl ({A}) : 1.71793e+10	S({A};B) : 2.57694e+11	Cond Belief : 4.36551e-10
Fod size : 20	|A| : 5	|B| : 5	Bl (B) :496	 Nlz : 5.49755e+11	 Bl ({A}) : 1.71793e+10	S({A};B) : 5.32576e+11	Cond Belief : 1
Fod size : 20	|A| : 6	|B| : 1	Bl (B) :4	 Nlz : 5.49755e+11	 Bl ({A}) : 8.58941e+09	S({A};B) : 8.58948e+09	Cond Belief : 7.51066e-12
Fod size : 20	|A| : 6	|B| : 2	Bl (B) :36	 Nlz : 5.49755e+11	 Bl ({A}) : 8.58941e+09	S({A};B) : 2.57688e+10	Cond Belief : 6.98491e-11
Fod size : 20	|A| : 6	|B| : 3	Bl (B) :56	 Nlz : 5.49755e+11	 Bl ({A}) : 8.58941e+09	S({A};B) : 6.01268e+10	Cond Belief : 1.16415e-10
Fod size : 20	|A| : 6	|B| : 4	Bl (B) :184	 Nlz : 5.49755e+11	 Bl ({A}) : 8.58941e+09	S({A};B) : 1.28844e+11	Cond Belief : 4.46253e-10
Fod size : 20	|A| : 6	|B| : 5	Bl (B) :880	 Nlz : 5.49755e+11	 Bl ({A}) : 8.58941e+09	S({A};B) : 2.66286e+11	Cond Belief : 3.2014e-09
Fod size : 20	|A| : 6	|B| : 6	Bl (B) :2016	 Nlz : 5.49755e+11	 Bl ({A}) : 8.58941e+09	S({A};B) : 5.41166e+11	Cond Belief : 1
Fod size : 20	|A| : 7	|B| : 1	Bl (B) :2	 Nlz : 5.49755e+11	 Bl ({A}) : 4.29444e+09	S({A};B) : 4.29446e+09	Cond Belief : 3.69572e-12
Fod size : 20	|A| : 7	|B| : 2	Bl (B) :10	 Nlz : 5.49755e+11	 Bl ({A}) : 4.29444e+09	S({A};B) : 1.28834e+10	Cond Belief : 1.87766e-11
Fod size : 20	|A| : 7	|B| : 3	Bl (B) :52	 Nlz : 5.49755e+11	 Bl ({A}) : 4.29444e+09	S({A};B) : 3.00615e+10	Cond Belief : 1.00893e-10
Fod size : 20	|A| : 7	|B| : 4	Bl (B) :624	 Nlz : 5.49755e+11	 Bl ({A}) : 4.29444e+09	S({A};B) : 6.44218e+10	Cond Belief : 1.29719e-09
Fod size : 20	|A| : 7	|B| : 5	Bl (B) :1744	 Nlz : 5.49755e+11	 Bl ({A}) : 4.29444e+09	S({A};B) : 1.33142e+11	Cond Belief : 4.22974e-09
Fod size : 20	|A| : 7	|B| : 6	Bl (B) :3808	 Nlz : 5.49755e+11	 Bl ({A}) : 4.29444e+09	S({A};B) : 2.70581e+11	Cond Belief : 1.38533e-08
Fod size : 20	|A| : 7	|B| : 7	Bl (B) :8128	 Nlz : 5.49755e+11	 Bl ({A}) : 4.29444e+09	S({A};B) : 5.45461e+11	Cond Belief : 1
Fod size : 20	|A| : 8	|B| : 1	Bl (B) :16	 Nlz : 5.49755e+11	 Bl ({A}) : 2.14696e+09	S({A};B) : 2.14702e+09	Cond Belief : 2.9333e-11
Fod size : 20	|A| : 8	|B| : 2	Bl (B) :48	 Nlz : 5.49755e+11	 Bl ({A}) : 2.14696e+09	S({A};B) : 6.44107e+09	Cond Belief : 8.86972e-11
Fod size : 20	|A| : 8	|B| : 3	Bl (B) :208	 Nlz : 5.49755e+11	 Bl ({A}) : 2.14696e+09	S({A};B) : 1.50296e+10	Cond Belief : 3.90553e-10
Fod size : 20	|A| : 8	|B| : 4	Bl (B) :848	 Nlz : 5.49755e+11	 Bl ({A}) : 2.14696e+09	S({A};B) : 3.22079e+10	Cond Belief : 1.64532e-09
Fod size : 20	|A| : 8	|B| : 5	Bl (B) :752	 Nlz : 5.49755e+11	 Bl ({A}) : 2.14696e+09	S({A};B) : 6.65588e+10	Cond Belief : 1.56325e-09
Fod size : 20	|A| : 8	|B| : 6	Bl (B) :2016	 Nlz : 5.49755e+11	 Bl ({A}) : 2.14696e+09	S({A};B) : 1.35267e+11	Cond Belief : 4.88915e-09
Fod size : 20	|A| : 8	|B| : 7	Bl (B) :12224	 Nlz : 5.49755e+11	 Bl ({A}) : 2.14696e+09	S({A};B) : 2.72714e+11	Cond Belief : 4.4468e-08
Fod size : 20	|A| : 8	|B| : 8	Bl (B) :32640	 Nlz : 5.49755e+11	 Bl ({A}) : 2.14696e+09	S({A};B) : 5.47608e+11	Cond Belief : 1
Fod size : 20	|A| : 9	|B| : 1	Bl (B) :1	 Nlz : 5.49755e+11	 Bl ({A}) : 1.07322e+09	S({A};B) : 1.07322e+09	Cond Belief : 1.82612e-12
Fod size : 20	|A| : 9	|B| : 2	Bl (B) :288	 Nlz : 5.49755e+11	 Bl ({A}) : 1.07322e+09	S({A};B) : 3.22024e+09	Cond Belief : 5.27993e-10
Fod size : 20	|A| : 9	|B| : 3	Bl (B) :1600	 Nlz : 5.49755e+11	 Bl ({A}) : 1.07322e+09	S({A};B) : 7.5158e+09	Cond Belief : 2.95658e-09
Fod size : 20	|A| : 9	|B| : 4	Bl (B) :120	 Nlz : 5.49755e+11	 Bl ({A}) : 1.07322e+09	S({A};B) : 1.60985e+10	Cond Belief : 2.25317e-10
Fod size : 20	|A| : 9	|B| : 5	Bl (B) :4816	 Nlz : 5.49755e+11	 Bl ({A}) : 1.07322e+09	S({A};B) : 3.32796e+10	Cond Belief : 9.34415e-09
Fod size : 20	|A| : 9	|B| : 6	Bl (B) :11712	 Nlz : 5.49755e+11	 Bl ({A}) : 1.07322e+09	S({A};B) : 6.76367e+10	Cond Belief : 2.4347e-08
Fod size : 20	|A| : 9	|B| : 7	Bl (B) :26560	 Nlz : 5.49755e+11	 Bl ({A}) : 1.07322e+09	S({A};B) : 1.36353e+11	Cond Belief : 6.44146e-08
Fod size : 20	|A| : 9	|B| : 8	Bl (B) :64384	 Nlz : 5.49755e+11	 Bl ({A}) : 1.07322e+09	S({A};B) : 2.73802e+11	Cond Belief : 2.34226e-07
Fod size : 20	|A| : 9	|B| : 9	Bl (B) :130816	 Nlz : 5.49755e+11	 Bl ({A}) : 1.07322e+09	S({A};B) : 5.48682e+11	Cond Belief : 1
Fod size : 20	|A| : 10	|B| : 1	Bl (B) :2	 Nlz : 5.49755e+11	 Bl ({A}) : 5.36347e+08	S({A};B) : 5.36349e+08	Cond Belief : 3.64509e-12
Fod size : 20	|A| : 10	|B| : 2	Bl (B) :1152	 Nlz : 5.49755e+11	 Bl ({A}) : 5.36347e+08	S({A};B) : 1.61022e+09	Cond Belief : 2.10369e-09
Fod size : 20	|A| : 10	|B| : 3	Bl (B) :2816	 Nlz : 5.49755e+11	 Bl ({A}) : 5.36347e+08	S({A};B) : 3.75731e+09	Cond Belief : 5.1626e-09
Fod size : 20	|A| : 10	|B| : 4	Bl (B) :808	 Nlz : 5.49755e+11	 Bl ({A}) : 5.36347e+08	S({A};B) : 8.04603e+09	Cond Belief : 1.49305e-09
Fod size : 20	|A| : 10	|B| : 5	Bl (B) :13856	 Nlz : 5.49755e+11	 Bl ({A}) : 5.36347e+08	S({A};B) : 1.66409e+10	Cond Belief : 2.60168e-08
Fod size : 20	|A| : 10	|B| : 6	Bl (B) :19808	 Nlz : 5.49755e+11	 Bl ({A}) : 5.36347e+08	S({A};B) : 3.38101e+10	Cond Belief : 3.84316e-08
Fod size : 20	|A| : 10	|B| : 7	Bl (B) :64576	 Nlz : 5.49755e+11	 Bl ({A}) : 5.36347e+08	S({A};B) : 6.81821e+10	Cond Belief : 1.34243e-07
Fod size : 20	|A| : 10	|B| : 8	Bl (B) :94080	 Nlz : 5.49755e+11	 Bl ({A}) : 5.36347e+08	S({A};B) : 1.36865e+11	Cond Belief : 2.28153e-07
Fod size : 20	|A| : 10	|B| : 9	Bl (B) :257792	 Nlz : 5.49755e+11	 Bl ({A}) : 5.36347e+08	S({A};B) : 2.74337e+11	Cond Belief : 9.37828e-07
Fod size : 20	|A| : 10	|B| : 10	Bl (B) :523776	 Nlz : 5.49755e+11	 Bl ({A}) : 5.36347e+08	S({A};B) : 5.49218e+11	Cond Belief : 1
Fod size : 20	|A| : 11	|B| : 1	Bl (B) :256	 Nlz : 5.49755e+11	 Bl ({A}) : 2.67911e+08	S({A};B) : 2.68042e+08	Cond Belief : 4.66116e-10
Fod size : 20	|A| : 11	|B| : 2	Bl (B) :272	 Nlz : 5.49755e+11	 Bl ({A}) : 2.67911e+08	S({A};B) : 8.03872e+08	Cond Belief : 4.95732e-10
Fod size : 20	|A| : 11	|B| : 3	Bl (B) :28	 Nlz : 5.49755e+11	 Bl ({A}) : 2.67911e+08	S({A};B) : 1.87539e+09	Cond Belief : 5.11311e-11
Fod size : 20	|A| : 11	|B| : 4	Bl (B) :14464	 Nlz : 5.49755e+11	 Bl ({A}) : 2.67911e+08	S({A};B) : 4.02606e+09	Cond Belief : 2.6517e-08
Fod size : 20	|A| : 11	|B| : 5	Bl (B) :3376	 Nlz : 5.49755e+11	 Bl ({A}) : 2.67911e+08	S({A};B) : 8.30697e+09	Cond Belief : 6.23822e-09
Fod size : 20	|A| : 11	|B| : 6	Bl (B) :26432	 Nlz : 5.49755e+11	 Bl ({A}) : 2.67911e+08	S({A};B) : 1.68919e+10	Cond Belief : 4.96287e-08
Fod size : 20	|A| : 11	|B| : 7	Bl (B) :60608	 Nlz : 5.49755e+11	 Bl ({A}) : 2.67911e+08	S({A};B) : 3.40557e+10	Cond Belief : 1.17587e-07
Fod size : 20	|A| : 11	|B| : 8	Bl (B) :65280	 Nlz : 5.49755e+11	 Bl ({A}) : 2.67911e+08	S({A};B) : 6.83507e+10	Cond Belief : 1.35679e-07
Fod size : 20	|A| : 11	|B| : 9	Bl (B) :515584	 Nlz : 5.49755e+11	 Bl ({A}) : 2.67911e+08	S({A};B) : 1.37166e+11	Cond Belief : 1.25044e-06
Fod size : 20	|A| : 11	|B| : 10	Bl (B) :523776	 Nlz : 5.49755e+11	 Bl ({A}) : 2.67911e+08	S({A};B) : 2.74341e+11	Cond Belief : 1.90363e-06
Fod size : 20	|A| : 11	|B| : 11	Bl (B) :2.09613e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 2.67911e+08	S({A};B) : 5.49485e+11	Cond Belief : 1
Fod size : 20	|A| : 12	|B| : 1	Bl (B) :1024	 Nlz : 5.49755e+11	 Bl ({A}) : 1.33693e+08	S({A};B) : 1.33955e+08	Cond Belief : 1.86355e-09
Fod size : 20	|A| : 12	|B| : 2	Bl (B) :4100	 Nlz : 5.49755e+11	 Bl ({A}) : 1.33693e+08	S({A};B) : 4.02126e+08	Cond Belief : 7.46514e-09
Fod size : 20	|A| : 12	|B| : 3	Bl (B) :1540	 Nlz : 5.49755e+11	 Bl ({A}) : 1.33693e+08	S({A};B) : 9.36247e+08	Cond Belief : 2.80671e-09
Fod size : 20	|A| : 12	|B| : 4	Bl (B) :16712	 Nlz : 5.49755e+11	 Bl ({A}) : 1.33693e+08	S({A};B) : 2.00966e+09	Cond Belief : 3.0518e-08
Fod size : 20	|A| : 12	|B| : 5	Bl (B) :3632	 Nlz : 5.49755e+11	 Bl ({A}) : 1.33693e+08	S({A};B) : 4.14542e+09	Cond Belief : 6.6584e-09
Fod size : 20	|A| : 12	|B| : 6	Bl (B) :83392	 Nlz : 5.49755e+11	 Bl ({A}) : 1.33693e+08	S({A};B) : 8.44395e+09	Cond Belief : 1.54094e-07
Fod size : 20	|A| : 12	|B| : 7	Bl (B) :161536	 Nlz : 5.49755e+11	 Bl ({A}) : 1.33693e+08	S({A};B) : 1.70203e+10	Cond Belief : 3.03296e-07
Fod size : 20	|A| : 12	|B| : 8	Bl (B) :248704	 Nlz : 5.49755e+11	 Bl ({A}) : 1.33693e+08	S({A};B) : 3.41552e+10	Cond Belief : 4.82483e-07
Fod size : 20	|A| : 12	|B| : 9	Bl (B) :745216	 Nlz : 5.49755e+11	 Bl ({A}) : 1.33693e+08	S({A};B) : 6.85074e+10	Cond Belief : 1.54894e-06
Fod size : 20	|A| : 12	|B| : 10	Bl (B) :1.96147e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 1.33693e+08	S({A};B) : 1.37269e+11	Cond Belief : 4.75678e-06
Fod size : 20	|A| : 12	|B| : 11	Bl (B) :4.18918e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 1.33693e+08	S({A};B) : 2.74739e+11	Cond Belief : 1.52399e-05
Fod size : 20	|A| : 12	|B| : 12	Bl (B) :8.38656e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 1.33693e+08	S({A};B) : 5.49613e+11	Cond Belief : 1
Fod size : 20	|A| : 13	|B| : 1	Bl (B) :16	 Nlz : 5.49755e+11	 Bl ({A}) : 6.65846e+07	S({A};B) : 6.65866e+07	Cond Belief : 2.91109e-11
Fod size : 20	|A| : 13	|B| : 2	Bl (B) :4160	 Nlz : 5.49755e+11	 Bl ({A}) : 6.65846e+07	S({A};B) : 2.00282e+08	Cond Belief : 7.57068e-09
Fod size : 20	|A| : 13	|B| : 3	Bl (B) :1044	 Nlz : 5.49755e+11	 Bl ({A}) : 6.65846e+07	S({A};B) : 4.66225e+08	Cond Belief : 1.90087e-09
Fod size : 20	|A| : 13	|B| : 4	Bl (B) :34432	 Nlz : 5.49755e+11	 Bl ({A}) : 6.65846e+07	S({A};B) : 1.00314e+09	Cond Belief : 6.27536e-08
Fod size : 20	|A| : 13	|B| : 5	Bl (B) :44288	 Nlz : 5.49755e+11	 Bl ({A}) : 6.65846e+07	S({A};B) : 2.06975e+09	Cond Belief : 8.08738e-08
Fod size : 20	|A| : 13	|B| : 6	Bl (B) :144256	 Nlz : 5.49755e+11	 Bl ({A}) : 6.65846e+07	S({A};B) : 4.21315e+09	Cond Belief : 2.64459e-07
Fod size : 20	|A| : 13	|B| : 7	Bl (B) :419008	 Nlz : 5.49755e+11	 Bl ({A}) : 6.65846e+07	S({A};B) : 8.50946e+09	Cond Belief : 7.7425e-07
Fod size : 20	|A| : 13	|B| : 8	Bl (B) :748800	 Nlz : 5.49755e+11	 Bl ({A}) : 6.65846e+07	S({A};B) : 1.70742e+10	Cond Belief : 1.40589e-06
Fod size : 20	|A| : 13	|B| : 9	Bl (B) :327424	 Nlz : 5.49755e+11	 Bl ({A}) : 6.65846e+07	S({A};B) : 3.40663e+10	Cond Belief : 6.35007e-07
Fod size : 20	|A| : 13	|B| : 10	Bl (B) :3.96442e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 6.65846e+07	S({A};B) : 6.86195e+10	Cond Belief : 8.24084e-06
Fod size : 20	|A| : 13	|B| : 11	Bl (B) :2.09613e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 6.65846e+07	S({A};B) : 1.36565e+11	Cond Belief : 5.07385e-06
Fod size : 20	|A| : 13	|B| : 12	Bl (B) :1.6767e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 6.65846e+07	S({A};B) : 2.74793e+11	Cond Belief : 6.0994e-05
Fod size : 20	|A| : 13	|B| : 13	Bl (B) :3.35503e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 6.65846e+07	S({A};B) : 5.49655e+11	Cond Belief : 1
Fod size : 20	|A| : 14	|B| : 1	Bl (B) :64	 Nlz : 5.49755e+11	 Bl ({A}) : 3.30301e+07	S({A};B) : 3.30342e+07	Cond Belief : 1.16429e-10
Fod size : 20	|A| : 14	|B| : 2	Bl (B) :6144	 Nlz : 5.49755e+11	 Bl ({A}) : 3.30301e+07	S({A};B) : 9.94775e+07	Cond Belief : 1.11786e-08
Fod size : 20	|A| : 14	|B| : 3	Bl (B) :17920	 Nlz : 5.49755e+11	 Bl ({A}) : 3.30301e+07	S({A};B) : 2.3234e+08	Cond Belief : 3.26121e-08
Fod size : 20	|A| : 14	|B| : 4	Bl (B) :1560	 Nlz : 5.49755e+11	 Bl ({A}) : 3.30301e+07	S({A};B) : 4.9555e+08	Cond Belief : 2.84036e-09
Fod size : 20	|A| : 14	|B| : 5	Bl (B) :46336	 Nlz : 5.49755e+11	 Bl ({A}) : 3.30301e+07	S({A};B) : 1.02685e+09	Cond Belief : 8.44476e-08
Fod size : 20	|A| : 14	|B| : 6	Bl (B) :507936	 Nlz : 5.49755e+11	 Bl ({A}) : 3.30301e+07	S({A};B) : 2.1129e+09	Cond Belief : 9.27552e-07
Fod size : 20	|A| : 14	|B| : 7	Bl (B) :218752	 Nlz : 5.49755e+11	 Bl ({A}) : 3.30301e+07	S({A};B) : 4.20861e+09	Cond Belief : 4.01002e-07
Fod size : 20	|A| : 14	|B| : 8	Bl (B) :776704	 Nlz : 5.49755e+11	 Bl ({A}) : 3.30301e+07	S({A};B) : 8.47162e+09	Cond Belief : 1.43502e-06
Fod size : 20	|A| : 14	|B| : 9	Bl (B) :2.59968e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 3.30301e+07	S({A};B) : 1.70422e+10	Cond Belief : 4.88038e-06
Fod size : 20	|A| : 14	|B| : 10	Bl (B) :5.83219e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 3.30301e+07	S({A};B) : 3.41573e+10	Cond Belief : 1.13122e-05
Fod size : 20	|A| : 14	|B| : 11	Bl (B) :1.67537e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 3.30301e+07	S({A};B) : 6.86682e+10	Cond Belief : 3.4827e-05
Fod size : 20	|A| : 14	|B| : 12	Bl (B) :3.04067e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 3.30301e+07	S({A};B) : 1.37174e+11	Cond Belief : 7.37045e-05
Fod size : 20	|A| : 14	|B| : 13	Bl (B) :6.68426e+07	 Nlz : 5.49755e+11	 Bl ({A}) : 3.30301e+07	S({A};B) : 2.74761e+11	Cond Belief : 0.000243098
Fod size : 20	|A| : 14	|B| : 14	Bl (B) :1.3421e+08	 Nlz : 5.49755e+11	 Bl ({A}) : 3.30301e+07	S({A};B) : 5.49588e+11	Cond Belief : 1
Fod size : 20	|A| : 15	|B| : 1	Bl (B) :256	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 1.62609e+07	Cond Belief : 4.65689e-10
Fod size : 20	|A| : 15	|B| : 2	Bl (B) :34	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 4.87598e+07	Cond Belief : 6.1853e-11
Fod size : 20	|A| : 15	|B| : 3	Bl (B) :548	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 1.13787e+08	Cond Belief : 9.97043e-10
Fod size : 20	|A| : 15	|B| : 4	Bl (B) :36912	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 2.44938e+08	Cond Belief : 6.71745e-08
Fod size : 20	|A| : 15	|B| : 5	Bl (B) :78880	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 5.06286e+08	Cond Belief : 1.43619e-07
Fod size : 20	|A| : 15	|B| : 6	Bl (B) :737568	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 1.0468e+09	Cond Belief : 1.34423e-06
Fod size : 20	|A| : 15	|B| : 7	Bl (B) :380160	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 2.07591e+09	Cond Belief : 6.94149e-07
Fod size : 20	|A| : 15	|B| : 8	Bl (B) :2.69094e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 4.22792e+09	Cond Belief : 4.93289e-06
Fod size : 20	|A| : 15	|B| : 9	Bl (B) :2.08307e+06	 Nlz : 5.49755e+11	 Bl ({A}) : 1.62529e+07	S({A};B) : 8.36982e+09	Cond Belief : 3.84778e-06
